name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
Hades 360,Hybrid,Sit Down,113,42,1441,0,Gravity Group,Mt. Olympus Water & Theme Park,status.operating,,
Top Thrill Dragster,Steel,Sit Down,192,128,853,0,Intamin,Cedar Point,status.operating,,
SheiKra,Steel,Floorless,113,61,972,1,B&M,Busch Gardens Tampa,status.operating,,
Matterhorn Blitz,Steel,Sit Down,56,16,383,0,Mack,Europa Park,status.operating,,
X2,Steel,4th Dimension,122,53,1100,6,Arrow,Six Flags Magic Mountain,status.operating,,
Kanonen,Steel,Sit Down,75,24,440,2,Intamin,Liseberg,status.closed.definitely,,
Backlot Stunt Coaster,Steel,Sit Down,64,,,0,Premier Rides,Kings Island,status.operating,,
Hydra the Revenge,Steel,Floorless,85,29,975,7,B&M,Dorney Park,status.operating,,
Flash Back,Steel,Sit Down,56,26,579,0,Intamin,Six Flags Magic Mountain,status.closed.definitely,,
Déjà Vu,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags Magic Mountain,status.relocated,,
Bizarro,Steel,Floorless,98,43,1214,7,B&M,Six Flags Great Adventure,status.operating,,
Atlantica SuperSplash,Steel,Water Coaster,80,30,390,0,Mack,Europa Park,status.operating,,
Nitro,Steel,Sit Down,128,70,1644,0,B&M,Six Flags Great Adventure,status.operating,,
Millennium Force,Steel,Sit Down,150,94,2010,0,Intamin,Cedar Point,status.operating,,
1066: Spirit of the Conqueror,Steel,Sit Down,,18,400,0,Soquet,Festyland,status.operating,,
PowderKeg,Steel,Sit Down,100,30,1068,0,S&S,Silver Dollar City,status.operating,,
Monstre (Blue),Wooden,Sit Down,96,39,1218,0,William J. Cobb,La Ronde,status.operating,,
Viper,Steel,Sit Down,112,57,1167,7,Arrow,Six Flags Magic Mountain,status.operating,,
Superman : Escape from Krypton,Steel,Sit Down,160,126,376,0,Intamin,Six Flags Magic Mountain,status.operating,,
Riddler's Revenge,Steel,Stand Up,105,47,1332,6,B&M,Six Flags Magic Mountain,status.operating,,
Goliath,Steel,Sit Down,137,71,1370,0,Giovanola,Six Flags Magic Mountain,status.operating,,
Batman the Ride,Steel,Inverted,80,32,823,5,B&M,Six Flags Magic Mountain,status.operating,,
Canyon Blaster,Steel,Sit Down,26,4,152,0,Miler Coaster,Six Flags Magic Mountain,status.operating,,
Gold Rusher,Steel,Sit Down,56,21,790,0,Arrow,Six Flags Magic Mountain,status.operating,,
Magic Flyer,Steel,Sit Down,16,6,105,0,Bradley & Kaye,Six Flags Magic Mountain,status.operating,,
Xcelerator,Steel,Sit Down,132,62,671,0,Intamin,Knott's Berry Farm,status.operating,,
Incredible Hulk,Steel,Sit Down,107,33,1127,7,B&M,Universal Studios Islands of Adventure,status.operating,,
Goliath,Steel,Sit Down,106,47,1214,0,Intamin,Walibi Holland,status.operating,,
Son of Beast,Wooden,Sit Down,126,66,2144,0,Premier Rides,Kings Island,status.closed.definitely,,
Drakkar Express,Steel,Sit Down,,,,0,Soquet,Festyland,status.operating,,
Beast,Wooden,Sit Down,104,34,2243,0,Charlie Dinn,Kings Island,status.operating,,
Xpress : Platform 13,Steel,Sit Down,90,26,996,3,Vekoma,Walibi Holland,status.operating,,
Super Wirbel,Steel,Sit Down,64,23,732,2,Vekoma,Holiday Park,status.closed.definitely,,
Iron Wolf,Steel,Stand Up,89,31,884,2,B&M,Six Flags Great America,status.closed.definitely,,
Demon,Steel,Sit Down,81,31,649,4,Arrow,Six Flags Great America,status.operating,,
American Eagle,Wooden,Sit Down,106,38,1417,0,Intamin,Six Flags Great America,status.operating,,
TGV des Etoiles,Steel,Sit Down,,,,0,Soquet,Touroparc,status.closed.definitely,,
Colossos,Wooden,Sit Down,110,51,1500,0,Intamin,Heide Park,status.operating,,
Gravity Max,Steel,Sit Down,90,35,568,1,Vekoma,Lihpao Land,status.operating,,
Storm Runner,Steel,Sit Down,120,56,806,3,Intamin,Hersheypark,status.operating,,
G Force,Steel,Sit Down,70,25,385,3,Maurer,Drayton Manor,status.closed.temporarily,,
Dragon Challenge : Chinese Fireball,Steel,Inverted,97,38,975,5,B&M,Universal Studios Islands of Adventure,status.closed.definitely,,
Balder,Wooden,Sit Down,90,36,1070,0,Intamin,Liseberg,status.operating,,
Great American Scream Machine,Steel,Sit Down,109,53,1158,7,Arrow,Six Flags Great Adventure,status.closed.definitely,,
